Name;Full Name;Nationality;Age;Height;Current Team;Shirt Number;Apps;Mins;Mins/App;Goals;Goals/App;Assists;Assists/App;Yel;Yel/App;Red;Red/App;Shots per Game;Pass Success Percentage;Aerials Won;Forward;Midfielder;Defender;Goalkeeper
Ferran Torres;;Spain;24;184;Barcelona;7;262;13653;52.1106870229008;58;0.221374045801527;28;0.106870229007634;23;0.0877862595419847;2;0.00763358778625954;1.4;79.9;0.7;1;1;0;0
Gerard Martín;;Spain;22;186;Barcelona;35;11;378;34.3636363636364;0;0;1;0.0909090909090909;1;0.0909090909090909;0;0;0;83.8;0.4;0;0;1;0
Fermín López;;Spain;21;174;Barcelona;16;49;2073;42.3061224489796;11;0.224489795918367;2;0.0408163265306122;5;0.102040816326531;0;0;1.5;85.8;0.3;0;1;0;0
Frenkie de Jong;;Netherlands;27;181;Barcelona;21;308;23733;77.0551948051948;18;0.0584415584415584;28;0.0909090909090909;34;0.11038961038961;2;0.00649350649350649;0.4;91.5;0.9;0;1;1;0
Ansu Fati;;Spain;22;178;Barcelona;10;139;5327;38.3237410071942;30;0.215827338129496;7;0.0503597122302158;9;0.0647482014388489;1;0.00719424460431655;1.5;85.7;0.2;1;1;0;0
Sergi Domínguez;;;19;188;Barcelona;36;5;206;41.2;0;0;0;0;1;0.2;0;0;0;93.9;0.6;0;0;1;0
Andreas Christensen;;Denmark;28;187;Barcelona;15;312;25163;80.650641025641;14;0.0448717948717949;6;0.0192307692307692;29;0.092948717948718;1;0.00320512820512821;0.4;91.8;2.3;0;1;1;0
Gavi;Pablo Páez Gavira;Spain;20;173;Barcelona;6;123;8203;66.6910569105691;8;0.0650406504065041;10;0.0813008130081301;35;0.284552845528455;2;0.016260162601626;0.7;88.8;0.9;0;1;0;0
Florian Wirtz;;Germany;21;176;Bayer Leverkusen;10;169;12161;71.9585798816568;47;0.27810650887574;50;0.295857988165681;20;0.118343195266272;0;0;1.5;81.9;0.2;1;1;0;0
Álex Grimaldo;;Spain;29;171;Bayer Leverkusen;20;312;26592;85.2307692307692;38;0.121794871794872;74;0.237179487179487;31;0.0993589743589744;0;0;1.2;84.2;0.6;0;1;1;0
Victor Boniface;;Nigeria;23;189;Bayer Leverkusen;22;91;6262;68.8131868131868;41;0.450549450549451;19;0.208791208791209;6;0.0659340659340659;0;0;2.9;73;1.4;1;0;0;0
Granit Xhaka;;Switzerland;32;186;Bayer Leverkusen;34;504;41310;81.9642857142857;34;0.0674603174603175;40;0.0793650793650794;124;0.246031746031746;12;0.0238095238095238;1.1;87.7;1.5;0;1;1;0
Robert Andrich;;Germany;30;187;Bayer Leverkusen;8;214;16175;75.5841121495327;27;0.126168224299065;13;0.0607476635514019;53;0.247663551401869;4;0.0186915887850467;1.3;82.4;1.3;0;1;1;0
Jonathan Tah;;Germany;28;195;Bayer Leverkusen;4;370;31332;84.6810810810811;13;0.0351351351351351;11;0.0297297297297297;48;0.12972972972973;1;0.0027027027027027;0.4;88.4;2.4;0;0;1;0
Piero Hincapié;;Ecuador;22;184;Bayer Leverkusen;3;135;10040;74.3703703703704;6;0.0444444444444444;5;0.037037037037037;24;0.177777777777778;3;0.0222222222222222;0.5;85.6;1.7;0;1;1;0
Jeremie Frimpong;;Netherlands;23;171;Bayer Leverkusen;30;178;13233;74.3426966292135;24;0.134831460674157;32;0.179775280898876;23;0.129213483146067;1;0.00561797752808989;1;82.3;0.5;0;1;1;0
Edmond Tapsoba;;Burkina Faso;25;194;Bayer Leverkusen;12;214;17671;82.5747663551402;10;0.0467289719626168;4;0.0186915887850467;35;0.163551401869159;1;0.00467289719626168;0.6;88.2;1.8;0;0;1;0
Jonas Hofmann;;Germany;32;176;Bayer Leverkusen;7;312;19196;61.525641025641;58;0.185897435897436;57;0.182692307692308;14;0.0448717948717949;0;0;1.2;81;0.2;1;1;1;0
Martin Terrier;;France;27;184;Bayer Leverkusen;11;237;14703;62.0379746835443;66;0.278481012658228;24;0.10126582278481;12;0.0506329113924051;2;0.00843881856540084;1.6;80.1;1.4;1;1;0;0
Amine Adli;;Morocco;24;174;Bayer Leverkusen;21;125;5969;47.752;16;0.128;13;0.104;17;0.136;2;0.016;1.3;80.3;0.9;1;1;0;0
Exequiel Palacios;;Argentina;26;176;Bayer Leverkusen;25;172;10312;59.953488372093;16;0.0930232558139535;21;0.122093023255814;26;0.151162790697674;1;0.00581395348837209;0.8;86.6;0.4;0;1;0;0
Aleix García;;Spain;27;173;Bayer Leverkusen;24;148;9095;61.4527027027027;7;0.0472972972972973;14;0.0945945945945946;12;0.0810810810810811;1;0.00675675675675676;0.8;88.5;0.5;0;1;0;0
Lukás Hrádecky;;Finland;34;192;Bayer Leverkusen;1;379;34010;89.7361477572559;0;0;0;0;12;0.0316622691292876;2;0.00527704485488127;0;70.3;0.2;0;0;0;1
Patrik Schick;;Czech Republic;28;191;Bayer Leverkusen;14;260;14486;55.7153846153846;89;0.342307692307692;13;0.05;20;0.0769230769230769;1;0.00384615384615385;2;74.6;1.7;1;1;0;0
Arthur;Arthur Augusto de Matos Soares;;21;173;Bayer Leverkusen;13;13;452;34.7692307692308;0;0;2;0.153846153846154;2;0.153846153846154;0;0;0.4;75.8;0.4;0;0;1;0
Nathan Tella;;Nigeria;25;173;Bayer Leverkusen;19;123;6172;50.1788617886179;26;0.211382113821138;12;0.0975609756097561;12;0.0975609756097561;0;0;1.3;76.3;0.3;1;1;0;0
Nordi Mukiele;;France;27;187;Bayer Leverkusen;23;227;15153;66.7533039647577;10;0.0440528634361234;11;0.0484581497797357;25;0.110132158590308;0;0;0.6;78.8;1.8;0;1;1;0
Jeanuël Belocian;;France;19;186;Bayer Leverkusen;44;42;2520;60;0;0;1;0.0238095238095238;4;0.0952380952380952;1;0.0238095238095238;0.2;89.7;0.4;0;0;1;0
Matej Kovár;;Czech Republic;24;196;Bayer Leverkusen;17;44;3905;88.75;0;0;0;0;1;0.0227272727272727;0;0;0;67.4;0.2;0;0;0;1
Willi Orbán;;Hungary;32;186;RB Leipzig;4;314;26630;84.8089171974522;30;0.0955414012738854;5;0.0159235668789809;48;0.152866242038217;4;0.0127388535031847;0.7;84.7;3.8;0;0;1;0
Xavi Simons;;Netherlands;21;179;RB Leipzig;10;110;8499;77.2636363636364;34;0.309090909090909;27;0.245454545454545;21;0.190909090909091;1;0.00909090909090909;2.2;82.2;0.7;1;1;0;0
Péter Gulácsi;;Hungary;34;191;RB Leipzig;1;330;29429;89.1787878787879;0;0;1;0.00303030303030303;3;0.00909090909090909;0;0;0;71.1;0.2;0;0;0;1
